sample_id,audio_path,filter_cutoff_normalized,spectral_centroid_hz,spectral_rolloff_85_hz,rms,zero_crossing_rate,mfcc_01,mfcc_02,mfcc_03,mfcc_04,mfcc_05,mfcc_06,mfcc_07,mfcc_08,mfcc_09,mfcc_10,mfcc_11,mfcc_12,mfcc_13
pilot_v1_00038,data\raw\audio\pilot_v1\pilot_v1_00038.wav,0.33644819259643555,778.5534324375076,215.66848754882812,0.020332828758473878,0.009025011526920083,-684.0903147685448,48.31341161701209,44.00505335731079,17.842214237686512,5.271696921764823,-0.7887844578583544,-0.3937516410365243,-1.9055726230144405,-4.374799610836856,-8.63242980717382,-12.319322190628375,-15.244082966883404,-17.116807338006566
pilot_v1_00039,data\raw\audio\pilot_v1\pilot_v1_00039.wav,0.7801375985145569,1061.0605560006693,419.98157501220703,0.031339514130192606,0.01218452142495408,-715.7865695282896,34.99075967669324,-24.722663823272324,4.315299526342695,-1.946263444048616,-3.225883456081444,-9.247998978007537,-5.406447930974603,-9.181659939761648,-8.238447014621515,-3.984144587490609,1.241604027616191,1.6569222331243079
pilot_v1_00040,data\raw\audio\pilot_v1\pilot_v1_00040.wav,0.4434400796890259,306.37202325073713,228.03325653076172,0.07649902587759175,0.006923710685643882,-838.9451569189491,61.99376624827053,3.1554125597319316,2.9671601538818626,2.621757236751758,-1.0635731686077463,-3.9865480107508984,-6.132873564287337,-5.236963634021341,-4.3788150689111704,-4.320834058941445,-5.832621659525934,-7.461349134867363
pilot_v1_00041,data\raw\audio\pilot_v1\pilot_v1_00041.wav,0.6035984754562378,382.5371962611106,166.88232421875,0.041250068981038425,0.006817889779968103,-774.7648514916018,71.33361896471473,-4.716880847418119,-12.66294946275322,8.801598779314642,0.955423266002207,-5.756641587384445,-3.3583407092404807,-1.9356248284478659,-1.5386547885630142,-3.3829559416989516,-11.081221644750753,-16.34523296512306
pilot_v1_00042,data\raw\audio\pilot_v1\pilot_v1_00042.wav,0.3979751169681549,503.8852082392047,197.92041778564453,0.03494005671084978,0.00829938245942902,-702.345743196028,69.00678916748113,37.3848195452025,6.642786642307907,2.919939679594913,-0.03210666675915695,-2.8476792388039702,-6.376054586463656,-8.953585750497293,-13.59260741554247,-17.09190639431365,-17.67782272004175,-14.153097653991601
pilot_v1_00043,data\raw\audio\pilot_v1\pilot_v1_00043.wav,0.7857325673103333,1044.8304410174894,422.0844268798828,0.029027683980894586,0.006273667979349806,-709.7249626871081,37.48120348516114,-21.865337266356544,2.666240251937326,-3.9443685231799264,-4.071081409802398,-7.9644301663604224,-3.0995481682066086,-6.732999009744835,-6.775637686726861,-3.207325535967102,0.822023566984198,0.3856036891078148
pilot_v1_00044,data\raw\audio\pilot_v1\pilot_v1_00044.wav,0.3337332308292389,739.9900557625879,212.30392456054688,0.01407414737669433,0.00961458514425657,-562.1012262592853,87.82428494239542,31.97036671872279,1.0612807044406802,-0.7305361912569227,-5.494637531157205,-4.681890090812971,-1.6759826009317986,0.5012221729599599,-1.8297232987863703,-5.189913407704657,-4.855151209984882,0.1696765186615839
pilot_v1_00045,data\raw\audio\pilot_v1\pilot_v1_00045.wav,0.7130369544029236,725.8399515470742,168.2281494140625,0.01831583420682089,0.00662136524085594,-739.7382788217893,44.711547904780424,-23.85694661937457,-2.4681548428146884,-6.4199330509087895,-3.3940985832947765,-7.958775185524992,-6.650856065172496,-7.1638274017912655,-5.594316238014658,-6.8158997002714825,-7.679924483978675,-9.16696028823942
pilot_v1_00046,data\raw\audio\pilot_v1\pilot_v1_00046.wav,0.5082145929336548,205.3496692712047,144.76032257080078,0.07824586200500995,0.006046908895758849,-852.0438645657661,72.83718547871517,11.031530066227853,-11.006346391537608,5.398709839632176,4.332505651604568,-5.618960128904103,-5.555296768522924,-1.0524388771627136,-1.789349955854983,-5.0089634092144495,-9.92285742762346,-15.035177584119026
pilot_v1_00047,data\raw\audio\pilot_v1\pilot_v1_00047.wav,0.6768361330032349,731.707387971456,177.22835540771484,0.06023675928576915,0.007437697941783385,-636.3948007816135,42.8904912126971,-28.41800581868449,1.6765590711405238,1.4279223278161806,3.9234216661443093,-3.857554682445545,-3.4366851437145676,-2.900889967175902,-0.26215274425225027,-4.459571774994858,-10.51305283068244,-16.952604968424698
pilot_v1_00048,data\raw\audio\pilot_v1\pilot_v1_00048.wav,0.5247757434844971,340.1207617713874,146.52671813964844,0.01594316463187607,0.00609226071247704,-874.0651349438414,43.75488934283196,-1.8167471025732298,-2.813418292853638,6.2389563722622805,0.3000067175884226,-2.221857993169022,-3.573437851735682,-1.5577349600626753,-0.976739809180505,-3.4863728396731295,-9.135674290101242,-13.762730387501275
pilot_v1_00049,data\raw\audio\pilot_v1\pilot_v1_00049.wav,0.6589490175247192,403.4708864447472,177.31246948242188,0.06550754520273518,0.007422580669543988,-750.6777617093179,78.10189050408823,24.835064285542245,-13.09414504373393,-5.202555978816931,4.079433822949198,0.0050823278575781,-5.8513087228510186,-2.5424607543474878,-0.629108419420428,-5.759889765267237,-13.237103610183588,-17.030046037272456
pilot_v1_00050,data\raw\audio\pilot_v1\pilot_v1_00050.wav,0.3167082965373993,1184.562378045517,236.6128921508789,0.013228988325413079,0.009947165133523308,-577.6830135996913,66.04937255868815,34.95295343287636,8.345491197711894,5.83158488047373,2.0217676400103306,-0.7975387849264168,-3.1726524915982517,-3.6310058099615654,-4.465533012282121,-5.389738942360207,-6.978066132996236,-7.673289138383943
pilot_v1_00051,data\raw\audio\pilot_v1\pilot_v1_00051.wav,0.7303137183189392,865.8213795987334,706.4741134643555,0.04843117836440913,0.006500427062940763,-643.7670714340126,50.84873906325789,-23.576703918231072,-5.436408674209411,-11.422992791669405,-5.75731184988415,-7.804118944307101,-1.4261346643161816,-0.397000317185049,-0.30377771351511523,-4.269216965737889,-3.336203920715689,-0.04020284045683752
pilot_v1_00052,data\raw\audio\pilot_v1\pilot_v1_00052.wav,0.3814998269081116,544.4956320705512,208.01410675048828,0.02059770856877368,0.008495906998541183,-636.9648292734477,87.40577227602171,23.999108272415825,1.9793341765152883,3.4725184564326863,-2.260707805307209,-3.680312692072093,-5.449912314238783,-6.687152027391238,-6.617236072590016,-5.043125985356071,-1.7152926111874394,1.3987373082469865
pilot_v1_00053,data\raw\audio\pilot_v1\pilot_v1_00053.wav,0.8035674095153809,975.2607051526886,233.9212417602539,0.07541537374025672,0.006757420691010514,-680.165929628347,36.60473188205738,-19.870807555759125,1.4228242238285858,-6.611329204273856,-4.234389350095518,-6.374406547103797,-3.396490511869705,-6.480457092323493,-5.948076144796199,-6.812917406960974,-6.4187334994460405,-6.371529017882269
pilot_v1_00054,data\raw\audio\pilot_v1\pilot_v1_00054.wav,0.46051734685897827,200.96320798249792,143.83506774902344,0.03409091027320984,0.006001557079040658,-913.7594774280137,48.74063565520778,33.21300833940276,6.019058911426795,-3.2237937189681576,-3.1835153862363605,-0.11363281221338012,-0.8770757582367503,-3.0678063770799007,-5.458231088036958,-7.313251860087648,-10.176222963170984,-12.84298709383271
pilot_v1_00055,data\raw\audio\pilot_v1\pilot_v1_00055.wav,0.5862358212471008,479.27632671767884,444.20642852783203,0.05753779919548664,0.013378785931866454,-677.6559175808793,80.91443556343795,-11.51782249698752,-4.678467196956771,-12.233877629193412,-6.9048037736973935,-6.225550064997611,-1.6386694993541493,-1.2029670547341917,-1.009430251028714,-3.286092551253922,-3.4038515414484904,-3.0212588679815133
pilot_v1_00056,data\raw\audio\pilot_v1\pilot_v1_00056.wav,0.3526570200920105,774.2593212615727,215.92082977294922,0.014299979705738371,0.008994776982441288,-628.7964869529694,76.34097930907349,29.508918009887,3.151978758425841,4.12290899467409,0.3821531363021478,-2.4315372129624158,-4.730653074575112,-5.631459365152189,-5.927584783406385,-4.536393868858895,-3.566099257808908,-2.8083483347237217
pilot_v1_00057,data\raw\audio\pilot_v1\pilot_v1_00057.wav,0.762032151222229,298.04538923468465,148.20899963378906,0.061222950753647955,0.006167847073674027,-795.0374139866789,56.722319870054676,-23.959193276965486,7.6538658624091935,15.975960598736899,0.03361918897402734,-4.7174146185668695,-2.331763494843542,-0.8666128369023499,-6.937935736021825,-9.598632606683768,-10.955345287253882,-13.445493867879506
