query_id,baseline_mean_audio_similarity,baseline_minimum_audio_similarity,baseline_mean_pairwise_parameter_distance,baseline_minimum_pairwise_parameter_distance,baseline_mean_query_parameter_distance,mmr_mean_audio_similarity,mmr_minimum_audio_similarity,mmr_mean_pairwise_parameter_distance,mmr_minimum_pairwise_parameter_distance,mmr_mean_query_parameter_distance
pilot_v1_00196,0.9374137372983539,0.9254893216726656,0.2684601189624646,0.19570941686341872,0.2238365388685312,0.9181189780588443,0.8815652337633222,0.3759662677785546,0.3070764049667289,0.30253129536068585
pilot_v1_00388,0.903434971999314,0.8721330093034265,0.32059560487931005,0.20848368196608602,0.30208130458658994,0.8964919008007908,0.8374176533108106,0.35613379221601604,0.2740621301792913,0.3209421971532769
pilot_v1_00406,0.9061798307322878,0.8914456080401687,0.37580626827346514,0.26870978024830294,0.37693311462607365,0.8855952569328183,0.8386743399028338,0.4472442917051547,0.372445912059482,0.39120343973214544
pilot_v1_00439,0.9131361134140784,0.8822953802749874,0.24965640158805535,0.15994785210493973,0.2740147341180165,0.9060353732194264,0.8533967986352786,0.2998495819592405,0.2185787299778398,0.2714584433798718
pilot_v1_00512,0.9645355017142643,0.9444626160443402,0.3037155068062448,0.23129468356453903,0.28977461354939915,0.9487169205447842,0.9225477001918438,0.4024051113257399,0.32403644363163886,0.33772491881137556
pilot_v1_00530,0.9236420261861623,0.9133254923338168,0.2942118361098799,0.16639696431229445,0.349711476440418,0.8971061507357838,0.8386620550988376,0.4024301638100226,0.25171238691131576,0.33741332807459035
pilot_v1_00534,0.9589404653472811,0.9562881053240252,0.36551303938579305,0.21416778621797872,0.3664998184183241,0.93488579346914,0.892151135603027,0.43384765514187096,0.34618689293092364,0.3685583301963469
pilot_v1_00551,0.9454853116152965,0.9285977591455952,0.30758341475999906,0.19809796584527004,0.2547524982300818,0.9354716447071458,0.9085384118175908,0.32761980284652714,0.272863987768006,0.2863122620508511
pilot_v1_00573,0.9262242416797527,0.9099313191362538,0.32263836694876835,0.20988848625592488,0.2833155576163354,0.9071994559113575,0.8520589796938448,0.36054746860376535,0.26172751800429606,0.3324970032803024
pilot_v1_00625,0.9327403700773566,0.9189413648996573,0.34910117028586185,0.16834333616081784,0.3350514074925986,0.9201840845813472,0.881475612617943,0.41582821859302505,0.298121505908115,0.36662584616726274
pilot_v1_00628,0.9214303844513123,0.912856166097722,0.2799477188044962,0.15720067209009428,0.26925180295675216,0.907022074968822,0.8839561146628954,0.3907442781884384,0.31604581087481,0.3401861586772609
pilot_v1_00666,0.9497430618586604,0.9414726661785225,0.34496273443736214,0.18086844663280485,0.3437994374634249,0.9308900385652276,0.8998494276890493,0.3915105597085575,0.3329128257607932,0.3437814121137668
pilot_v1_00723,0.927243950432899,0.9077095873871102,0.3038543256693841,0.1517053848159861,0.31933985259728986,0.9181036870385684,0.8876200585949255,0.3340867581576714,0.275316272717799,0.3129153968436332
pilot_v1_00836,0.9290077131396188,0.9177444811595206,0.3209464987858649,0.21105882981635884,0.3219410026257562,0.90566315968934,0.8673776142938867,0.3769135838883759,0.24806278603967946,0.32834053464879337
pilot_v1_00841,0.91454756035623,0.8839439881913457,0.3530792935495071,0.24171345313969866,0.3042062990473206,0.9027286016249111,0.8544831826356174,0.3875907885746008,0.28925974272792815,0.3131069412845873
pilot_v1_00846,0.8902154818201977,0.8763104291373114,0.34806729670266495,0.24963238327398674,0.2779707115001399,0.8699657520846591,0.8200175449284054,0.4330023788213559,0.33389584281280804,0.33396345576321756
pilot_v1_00881,0.9120107349274373,0.9028303587369115,0.33641199127941634,0.21717417928061475,0.2738267074862102,0.897645063974107,0.8744317657014896,0.3986129796437293,0.31045737634674553,0.3454615568986707
pilot_v1_00904,0.9220035420275723,0.9159481323350177,0.3703797664848135,0.22725421262597234,0.30420200186960333,0.9154841623501706,0.8959184136251946,0.37591842706794687,0.28364462162291965,0.31198762255941037
pilot_v1_00951,0.8874327648964456,0.8516339961059661,0.3197810223637027,0.1777048442282688,0.2883882956462316,0.8747771528099133,0.8402694443469013,0.38322723974819295,0.3175353676368343,0.355880446084723
pilot_v1_01018,0.9404429663584668,0.9181047090889534,0.31638549001856275,0.19060089156835483,0.2730226143066871,0.9310187323730066,0.8733080442251366,0.3614265431808862,0.3010505623241993,0.29868182891455214
pilot_v1_01019,0.8550106227258653,0.8244908162165951,0.35984081249382294,0.20770802392599932,0.33881815750761674,0.8538096890735399,0.8184861479549697,0.3822751491020807,0.31959101566227094,0.32677089217204836
